SCPopn2i	SCPopnSerum	Popn2i	All
Aprt	Nanog	Adpgk	Adpgk
Cyb5a	Pdgfa	Anapc5	Anapc5
Gja1	Tbx3	Axin1	Aprt
Morf4l1		Bloc1s1	Axin1
Nt5dc2		Cacul1	Bloc1s1
P4hb		Ccne1	Cacul1
Pdia6		Crebbp	Ccna2
Pmel		Dclre1c	Ccnb1
Rcn3		Fbxo38	Ccne1
Rfc4		Ganab	Cdc20
Strn3		Gca	Cenpa
Utf1		Gtf2f1	Crebbp
		Hyou1	Cyb5a
		Inpp5a	Dclre1c
		Itfg2	Dppa3
		Jkamp	Dusp6
		Lefty1	Esrrb
		Lman1	Fbxo38
		Pdia5	Ganab
		Plcg1	Gbx2
		Plk1	Gca
		Plk3	Gja1
		Pot1a	Gtf2f1
		Rpn2	Hes1
		Rrbp1	Hyou1
		Sel1l	Inpp5a
		Srpr	Itfg2
		Stt3b	Jkamp
		Surf4	Klf2
		Tiam1	Klf4
		Tmx1	Klf5
		Topors	Lefty1
		Ttk	Lman1
		Upf2	Morf4l1
		Xab2	Nanog
		Xbp1	Nr0b1
			Nt5dc2
			P4hb
			Pdgfa
			Pdia5
			Pdia6
			Plcg1
			Plk1
			Plk3
			Pmel
			Pot1a
			Pou5f1
			Rcn3
			Rfc4
			Rplp0
			Rpn2
			Rrbp1
			Sall4
			Sel1l
			Sox2
			Spry4
			Srpr
			Strn3
			Stt3b
			Surf4
			Tbx3
			Tiam1
			Tmx1
			Topors
			Ttk
			Upf2
			Utf1
			Xab2
			Xbp1
