SCPopn2i	SCPopnSerum	Popn2i	All
ENSMUSG00000006589	ENSMUSG00000018604	ENSMUSG00000029676	ENSMUSG00000021255
ENSMUSG00000024646	ENSMUSG00000025856	ENSMUSG00000036822	ENSMUSG00000029676
ENSMUSG00000050953	ENSMUSG00000012396	ENSMUSG00000030867	ENSMUSG00000036822
ENSMUSG00000062270		ENSMUSG00000043241	ENSMUSG00000019539
ENSMUSG00000062270		ENSMUSG00000026648	ENSMUSG00000030867
ENSMUSG00000071547		ENSMUSG00000024182	ENSMUSG00000034486
ENSMUSG00000025130		ENSMUSG00000002068	ENSMUSG00000043241
ENSMUSG00000020571		ENSMUSG00000038379	ENSMUSG00000026648
ENSMUSG00000025359		ENSMUSG00000021072	ENSMUSG00000024182
ENSMUSG00000019539		ENSMUSG00000002489	ENSMUSG00000020571
ENSMUSG00000022881		ENSMUSG00000022521	ENSMUSG00000055148
ENSMUSG00000020954		ENSMUSG00000041891	ENSMUSG00000002068
ENSMUSG00000047751		ENSMUSG00000020484	ENSMUSG00000006398
		ENSMUSG00000027642	ENSMUSG00000038379
		ENSMUSG00000014867	ENSMUSG00000018604
		ENSMUSG00000029472	ENSMUSG00000021072
		ENSMUSG00000020964	ENSMUSG00000019960
		ENSMUSG00000032437	ENSMUSG00000002489
		ENSMUSG00000032042	ENSMUSG00000025056
		ENSMUSG00000032115	ENSMUSG00000022521
		ENSMUSG00000001518	ENSMUSG00000041891
		ENSMUSG00000016933	ENSMUSG00000020484
		ENSMUSG00000026893	ENSMUSG00000027642
		ENSMUSG00000005078	ENSMUSG00000014867
		ENSMUSG00000028680	ENSMUSG00000029472
		ENSMUSG00000090247	ENSMUSG00000020964
		ENSMUSG00000027422	ENSMUSG00000027715
		ENSMUSG00000025477	ENSMUSG00000020954
		ENSMUSG00000038793	ENSMUSG00000050953
		ENSMUSG00000019470	ENSMUSG00000032437
		ENSMUSG00000025236	ENSMUSG00000032042
		ENSMUSG00000002658	ENSMUSG00000022528
		ENSMUSG00000042211	ENSMUSG00000025856
		ENSMUSG00000022844	ENSMUSG00000041431
		ENSMUSG00000033417	ENSMUSG00000022881
		ENSMUSG00000071650	ENSMUSG00000074637
			ENSMUSG00000032115
			ENSMUSG00000006589
			ENSMUSG00000067274
			ENSMUSG00000062270
			ENSMUSG00000062270
			ENSMUSG00000001518
			ENSMUSG00000016933
			ENSMUSG00000025359
			ENSMUSG00000027547
			ENSMUSG00000025130
			ENSMUSG00000026893
			ENSMUSG00000046323
			ENSMUSG00000024406
			ENSMUSG00000012396
			ENSMUSG00000005078
			ENSMUSG00000003032
			ENSMUSG00000028680
			ENSMUSG00000090247
			ENSMUSG00000027422
			ENSMUSG00000029177
			ENSMUSG00000025477
			ENSMUSG00000038793
			ENSMUSG00000019470
			ENSMUSG00000047751
			ENSMUSG00000025236
			ENSMUSG00000024646
			ENSMUSG00000024427
			ENSMUSG00000071547
			ENSMUSG00000002658
			ENSMUSG00000005148
			ENSMUSG00000042211
			ENSMUSG00000022844
			ENSMUSG00000033417
			ENSMUSG00000071650
