Spike	Copies
ERCC-00075	0.058149527
ERCC-00048	0.058149527
ERCC-00057	0.058149527
ERCC-00083	0.116299014
ERCC-00061	0.232598027
ERCC-00117	0.232598027
ERCC-00098	0.232598027
ERCC-00086	0.465196055
ERCC-00138	0.465196055
ERCC-00012	0.465196055
ERCC-00017	0.465196055
ERCC-00104	0.930392109
ERCC-00123	0.930392109
ERCC-00041	0.930392109
ERCC-00024	0.930392109
ERCC-00016	0.930392109
ERCC-00081	0.930392109
ERCC-00142	0.930392109
ERCC-00168	1.860784177
ERCC-00158	1.860784177
ERCC-00097	1.860784177
ERCC-00164	1.860784177
ERCC-00156	1.860784177
ERCC-00147	3.721568355
ERCC-00013	3.721568355
ERCC-00109	3.721568355
ERCC-00073	3.721568355
ERCC-00120	3.721568355
ERCC-00137	3.721568355
ERCC-00040	3.721568355
ERCC-00134	7.443136751
ERCC-00033	7.443136751
ERCC-00031	7.443136751
ERCC-00058	7.443136751
ERCC-00069	7.443136751
ERCC-00077	14.8862735
ERCC-00014	14.8862735
ERCC-00150	14.8862735
ERCC-00067	14.8862735
ERCC-00143	14.8862735
ERCC-00039	14.8862735
ERCC-00028	14.8862735
ERCC-00160	29.77254696
ERCC-00085	29.77254696
ERCC-00034	29.77254696
ERCC-00154	29.77254696
ERCC-00157	29.77254696
ERCC-00170	59.54509392
ERCC-00054	59.54509392
ERCC-00099	59.54509392
ERCC-00163	59.54509392
ERCC-00059	59.54509392
ERCC-00148	59.54509392
ERCC-00126	59.54509392
ERCC-00053	119.0901878
ERCC-00144	119.0901878
ERCC-00019	119.0901878
ERCC-00078	119.0901878
ERCC-00084	119.0901878
ERCC-00062	238.1803757
ERCC-00051	238.1803757
ERCC-00162	238.1803757
ERCC-00071	238.1803757
ERCC-00079	238.1803757
ERCC-00165	238.1803757
ERCC-00025	238.1803757
ERCC-00095	476.3607514
ERCC-00112	476.3607514
ERCC-00131	476.3607514
ERCC-00044	476.3607514
ERCC-00035	476.3607514
ERCC-00060	952.7215028
ERCC-00022	952.7215028
ERCC-00076	952.7215028
ERCC-00092	952.7215028
ERCC-00043	1905.443006
ERCC-00042	1905.443006
ERCC-00111	1905.443006
ERCC-00116	1905.443006
ERCC-00003	3810.886011
ERCC-00145	3810.886011
ERCC-00009	3810.886011
ERCC-00108	3810.886011
ERCC-00136	7621.772022
ERCC-00046	15243.54404
ERCC-00171	15243.54404
ERCC-00113	15243.54404
ERCC-00004	30487.08809
ERCC-00074	60974.17618
ERCC-00096	60974.17618
ERCC-00002	60974.17618
ERCC-00130	121948.3524
